Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
early bird,orderable,YOHOL Studio,Azur Lane,Janus,GK Statue,16-25cm,1/6,18+ Female,12/2024 ,GK Statue,"25,560.75"
pre-order,orderable,power studio,Dragon Ball,Son Gohan,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,371.46"
pre-order,orderable,Gentleman 18 Studio,Original,Demon courier,GK Statue,16-25cm,1/6,18+ Male, ,GK Statue,"12,872.99"
released,contact for current prices,Prime 1 Studio,PRIME 1 STUDIO,Hunter's Victim,Licensed Statue,over 90cm,1/4,Other, ,Licensed Statue,"73,996.52"
early bird,orderable,GJ Studio,Original,Taki,GK Statue,unknown,1/6,18+ Male, ,GK Statue,"27,690.81"
pre-order,orderable,cm studio,Spy x Family,Anya Forger,GK Statue,10-15cm,other scale,Other,03/2025 ,GK Statue,"8,149.80"
pre-order,orderable,FXW Studio,Digimon,Magnamon,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"15,558.72"
pre-order,orderable,Iconic Figure Studio,Kamen Rider,Kamen Rider Shadow Moon,GK Statue,36-50cm,1/6,Other,06/2025 ,GK Statue,"35,562.78"
pre-order,orderable,Ling Yue Studio,Honkai: Star Rail,Sparkle/Hanabi,GK Statue,16-25cm,1/6,18+ Female,03/2025 ,GK Statue,"25,560.75"
pre-order,orderable,Qing Yuan Studio,Neon Genesis Evangelion,Ayanami Rei,GK Statue,36-50cm,other scale,Other,03/2025 ,GK Statue,"29,543.04"
pre-order,orderable,DX Studio,One Piece,Monkey D. Luffy,GK Statue,51-69cm,other scale,Other,12/2024 ,GK Statue,"31,302.66"
pre-order,orderable,Limit Studio,Harry Potter,Harry Potter,Licensed Statue,70-90cm,1/3,Other,12/2025 ,Licensed Statue,"198,188.42"
early bird,orderable,Fighting Sprit Studio,Dragon Ball,Vegito(Vegetto),GK Statue,51-69cm,1/6,Other,06/2025 ,GK Statue,"17,966.61"
pre-order,orderable,MYSTIC BALL Studio,NieR:Automata,2B,GK Statue,16-25cm,1/6,18+ Female,12/2025 ,GK Statue,"15,558.72"
pre-order,orderable,league studio,Dragon Ball,Shugesh,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,VENUS Studio,One Piece,Bonney,GK Statue,36-50cm,1/6,18+ Female,06/2025 ,GK Statue,"44,638.70"
pre-order,orderable,ACY Studio,Dungeon & Fighter,Blade Dancer,GK Statue,51-69cm,1/4,18+ Female,09/2025 ,GK Statue,"59,549.14"
pre-order,orderable,echo studio,Pokémon,Pikachu,GK Statue,10-15cm,other scale,Skin change / Cosplay,06/2025 ,GK Statue,"8,520.25"
pre-order,orderable,Sugar dady Studio,Resident Evil / Biohazard,Chris Redfield,GK Statue,26-35cm,1/6,18+ Male,06/2025 ,GK Statue,"27,690.81"
pre-order,orderable,pink bear studio,Jujutsu Kaisen,Satoru Gojo,GK Statue,36-50cm,other scale,18+ Male,06/2025 ,GK Statue,"29,543.04"
pre-order,orderable,BearPanda Studio,Original,Chlorum,Licensed Figure,26-35cm,1/6,Other,09/2025 ,Licensed Figure,"7,594.14"
pre-order,orderable,BearPanda Studio,Original,Fallen Red,Licensed Figure,26-35cm,1/6,Other,09/2025 ,Licensed Figure,"5,371.46"
pre-order,orderable,Super Nova Studio,Original,Miyamae Shiho,Licensed Figure,26-35cm,1/6,Other,09/2025 ,Licensed Figure,"4,815.79"
